,code,종목,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
106,000880,한화,26150,0,0.0,210390,5507,19602
107,006260,LS,59700,200,-0.33,138306,8219,19223
108,042670,두산인프라코어,8820,230,2.68,5086071,44934,19043
109,005250,녹십자홀딩스,40450,800,2.02,329171,13289,19023
110,009420,한올바이오파마,36350,650,-1.76,535157,19464,18989
111,014680,한솔케미칼,164500,500,0.3,26404,4314,18581
112,088350,한화생명,2040,35,1.75,8362415,17307,17718
113,047050,포스코인터내셔널,14300,300,2.14,252515,3596,17643
114,004370,농심,288500,500,0.17,25684,7412,17548
115,064350,현대로템,15600,50,0.32,592602,9271,17026
116,069960,현대백화점,72400,1100,1.54,117380,8487,16943
117,010120,LS ELECTRIC,54900,500,0.92,113447,6207,16470
118,017800,현대엘리베이,40350,50,-0.12,81784,3298,16469
119,004800,효성,77800,0,0.0,25419,1984,16393
120,003000,부광약품,25150,750,3.07,1028735,25609,16307
121,006650,대한유화,250500,2000,0.8,57017,14404,16282
122,010620,현대미포조선,40700,1450,3.69,521923,20895,16256
123,010060,OCI,65900,100,-0.15,101258,6708,15717
124,003520,영진약품,8290,440,5.61,8945500,72367,15162
125,000990,DB하이텍,33900,0,0.0,313187,10559,15051
126,000240,한국테크놀로지그룹,16100,100,-0.62,348829,5678,14976
127,002380,KCC,166500,0,0.0,25153,4212,14796
128,004000,롯데정밀화학,57200,0,0.0,127064,7208,14758
129,047040,대우건설,3445,45,-1.29,1368733,4753,14318
130,007700,F&F,91700,500,0.55,22020,2025,14122
131,111770,영원무역,31350,700,2.28,170877,5385,13892
132,294870,HDC현대산업개발,20600,50,0.24,220663,4549,13577
133,012450,한화에어로스페이스,26650,50,-0.19,168658,4506,13493
134,006120,SK디스커버리,70000,700,-0.99,127303,9003,13326
135,010780,아이에스동서,42550,600,1.43,32249,1361,13145
136,051600,한전KPS,28950,0,0.0,87559,2534,13028
137,007570,일양약품,67200,2100,3.23,328728,21711,12826
138,011210,현대위아,46100,200,-0.43,88775,4098,12537
139,214320,이노션,59200,200,0.34,20704,1223,11840
140,001740,SK네트웍스,4760,55,1.17,311547,1478,11814
141,073240,금호타이어,3930,10,-0.25,291864,1145,11289
142,069620,대웅제약,96500,800,0.84,144471,14102,11181
143,020560,아시아나항공,4965,55,1.12,15033352,75050,11084
144,031430,신세계인터내셔날,154500,3000,1.98,32387,5004,11031
145,192080,더블유게임즈,59900,500,0.84,48008,2869,11006
146,120110,코오롱인더,40500,450,-1.1,509030,21044,10926
147,032350,롯데관광개발,15700,0,0.0,115757,1821,10876
148,161890,한국콜마,46850,1450,3.19,275844,12888,10720
149,192820,코스맥스,101000,2000,2.02,74840,7547,10150
150,069260,휴켐스,24400,500,2.09,163406,3983,9974
151,000670,영풍,524000,3000,0.58,1257,660,9652
152,003240,태광산업,860000,22000,2.63,1039,891,9575
153,114090,GKL,15150,700,4.84,1246692,18825,9371
154,241590,화승엔터프라이즈,15250,800,5.54,369844,5558,9232
155,284740,쿠쿠홈시스,41100,450,1.11,15277,626,9222
156,093370,후성,9760,0,0.0,561173,5471,9038
157,005300,롯데칠성,100500,3600,3.72,73605,7352,9020
158,057050,현대홈쇼핑,73500,600,0.82,20913,1537,8820
159,001680,대상,25400,50,0.2,85072,2154,8801
160,000640,동아쏘시오홀딩스,143000,5000,3.62,75704,10635,8778
161,016380,KG동부제철,8370,20,-0.24,81627,684,8371
162,001800,오리온홀딩스,13300,0,0.0,168422,2240,8332
163,000150,두산,48900,0,0.0,35632,1738,8080
164,003850,보령제약,16800,450,2.75,792692,13140,8000
165,014820,동원시스템즈,30450,450,-1.46,38238,1171,7801
166,005440,현대그린푸드,7920,300,3.94,415861,3245,7738
167,079160,CJ CGV,21650,150,0.7,129011,2795,7599
168,170900,동아에스티,89200,700,0.79,14121,1252,7532
169,064960,S&T모티브,51500,200,0.39,26976,1387,7531
170,071840,롯데하이마트,31550,350,1.12,32831,1035,7448
171,103140,풍산,26150,100,0.38,88497,2316,7328
172,020000,한섬,29650,200,0.68,45270,1333,7303
173,001120,LG상사,18500,400,-2.12,132581,2465,7171
174,001060,JW중외제약,33750,750,2.27,354295,11937,7061
175,105630,한세실업,17250,50,0.29,67504,1171,6900
176,049770,동원F&B,178500,1500,0.85,5681,1015,6889
177,108670,LG하우시스,75700,3100,4.27,63479,4679,6789
178,192400,쿠쿠홀딩스,95000,600,-0.63,3890,371,6757
179,001230,동국제강,7010,30,-0.43,353322,2475,6690
180,005610,SPC삼립,77300,600,-0.77,15823,1229,6670
181,018250,애경산업,25000,200,0.81,70134,1753,6602
182,079550,LIG넥스원,29900,50,0.17,39802,1189,6578
183,052690,한전기술,16650,0,0.0,31753,530,6364
184,012630,HDC,10450,0,0.0,112051,1169,6243
185,000070,삼양홀딩스,67900,100,-0.15,5163,350,5815
186,115390,락앤락,10650,0,0.0,107433,1142,5771
187,002350,넥센타이어,5720,80,1.42,144753,826,5587
188,145990,삼양사,54100,0,0.0,8794,475,5580
189,005180,빙그레,55300,100,-0.18,17052,943,5448
190,004490,세방전지,35600,1600,4.71,103523,3682,4984
191,093050,LF,15500,300,1.97,83350,1285,4532
192,027410,BGF,4660,5,0.11,89450,417,4460
193,006390,한일현대시멘트,25850,250,-0.96,13797,357,4348
194,025860,남해화학,8660,150,-1.7,221686,1932,4302
195,014830,유니드,45000,150,-0.33,11560,521,4000
196,009410,태영건설,10150,50,-0.49,161640,1648,3948
197,060980,한라홀딩스,37800,400,-1.05,15955,601,3958
198,002270,롯데푸드,339500,12500,3.82,4020,1357,3843
199,001430,세아베스틸,10250,0,0.0,49772,506,3676
200,019680,대교,3860,30,0.78,46799,180,3270
